Username,Role,Login Time,Actions,Status,Reason
Unknown,Unknown,2025-05-12 06:18:56,None,Failed,Invalid credentials
XF6N0R4,admin,2025-05-12 06:21:19,None,Success,N/A
W3PHXNA,nurse,2025-05-12 06:25:51,None,Success,N/A
W3PHXNA,nurse,2025-05-12 06:35:18,None,Success,N/A
W3PHXNA,nurse,2025-05-12 06:38:56,None,Success,N/A
W3PHXNA,nurse,2025-05-12 07:06:43,None,Success,N/A
W3PHXNA,nurse,2025-05-12 07:10:25,None,Success,N/A
W3PHXNA,nurse,2025-05-12 07:19:09,None,Success,N/A
W3PHXNA,nurse,2025-05-12 07:33:57,None,Success,N/A
W3PHXNA,nurse,2025-05-12 07:39:14,None,Success,N/A
W3PHXNA,nurse,2025-05-12 07:42:34,None,Success,N/A
W3PHXNA,nurse,2025-05-12 07:54:02,None,Success,N/A
XF6N0R4,admin,2025-05-12 08:03:08,None,Success,N/A
XF6N0R4,admin,2025-05-12 08:08:20,None,Success,N/A
XF6N0R4,admin,2025-05-12 08:11:15,None,Success,N/A
XF6N0R4,admin,2025-05-12 08:13:09,None,Success,N/A
XF6N0R4,admin,2025-05-12 08:16:34,None,Success,N/A
XF6N0R4,admin,2025-05-12 08:20:35,None,Success,N/A
W3PHXNA,nurse,2025-05-12 08:23:43,None,Success,N/A
USOOUA9,management,2025-05-12 09:59:55,None,Success,N/A
USOOUA9,management,2025-05-12 11:14:28,None,Success,N/A
W3PHXNA,nurse,2025-05-12 11:33:58,None,Success,N/A
